Date,Route,Notes
"1월 16일","Club Med Phuket -> 왓찰롱 -> 쓰리몽키즈 레스토랑 -> 푸켓국제공항","오후 출발, 공항 샌딩 투어"
"1월 19일","Hotel Clover Patong -> 카론 뷰포인트 -> 왓찰롱 사원 -> 쓰리몽키즈 레스토랑 -> 샤워 가능한 마사지 샵 -> 푸켓 국제공항","공항 가기 전 마사지 필수"
"2월 16일","Kata Sea Breeze Resort -> 푸켓 올드타운 -> 샤워 가능한 마사지 샵 -> 칠와 야시장 -> 푸켓 국제공항","야시장 방문 포함"
"4월 13일","X10 Khaolak Resort -> Sametnangshe Viewpoint -> 푸켓 올드타운 -> 칠와 마켓 -> 시암니라밋쇼 -> Centara Karon Resort","카오락 출발, 쇼 관람 후 숙소 이동"
"1월 30일","JW Marriott Khao Lak Resort -> 라이언랜드 -> 왓찰롱사원 -> 올드타운 -> 푸켓국제공항","가족 여행 코스"
"5월 16일","Casabay Luxury Pool Villas -> MK수끼(찰롱) -> 돌핀쇼 -> 왓찰롱사원 -> 마사지 -> 쓰리몽키즈 -> 칠바야시장 -> 푸켓국제공항","맛집 및 쇼 포함 풀코스"
"2월 6일","Katathani Phuket Beach -> 쏨찟국수 -> 왓찰롱사원 -> 카오랑뷰포인트 -> 마사지 -> 쓰리몽키즈 -> 푸켓국제공항","국수 맛집 포함"
"2월 6일","Sunwing Kamala Beach -> 왓찰롱사원 -> 타이거파크 -> WE CAFÉ -> 올드타운 -> Phuket Marriott Resort","호텔 이동 코스"
"1월 30일","Splash Beach Resort -> 쏨짓 바미국수 -> 왓찰롱 사원 -> 푸켓 올드타운 -> 센트럴 백화점 -> 푸켓 국제공항","쇼핑몰 포함"
"2월 1일","Hotel Midtown Ratsada -> 코끼리 먹이주기 -> 정실론 -> La Green Hotel","시내 쇼핑 및 이동"
"1월 23일","Novotel Phuket Vintage Park -> 쏨찟국수 -> 왓찰롱사원 -> 올드타운 -> 마사지 -> 쓰리몽키즈 -> 푸켓국제공항","전형적인 시티투어"
"1월 11일","Holiday Inn Resort Phuket -> 코끼리 정글 -> 쏨찟국수 -> 라이언 랜드 -> 센트럴 백화점 -> 쓰리몽키즈 -> 푸켓국제공항","액티비티 위주"
"2월 3일","Novotel Phuket Vintage Park -> 왓찰롱 사원 -> 푸켓 돌핀쇼 -> 푸켓 올드타운 -> 푸켓 국제공항","돌고래쇼 포함"
"2월 14일","Trisara PHUKET -> 타이거킹덤 -> 매직카니발 -> Trisara","왕복 투어"
"2월 10일","Mandarava Resort -> 라이언랜드 -> 왓찰롱사원 -> 카오랑뷰포인트 -> 올드타운 -> 푸켓국제공항","뷰포인트 포함"
"2월 21일","Grace Patong Hotel -> 푸켓 올드타운 -> 마사지 -> 쓰리몽키즈 -> 푸켓 국제공항","오전 출발 여유로운 코스"
"1월 9일","Centara Karon Resort -> 위카페 -> 돌핀쇼 -> 마사지 -> 쓰리몽키즈 -> 푸켓국제공항","카페/쇼/마사지/맛집"
"2월 6일","Baan Laimai Beach Resort -> 타이거 파크 -> We Café -> 푸켓 돌핀쇼 -> 마사지 -> 쓰리몽키즈 -> 푸켓 국제공항","동물 체험 위주"
"2월 4일","Baan Laimai Beach Resort -> 푸켓 올드타운 -> 시암니라밋쇼 -> Baan Laimai Beach Resort","야간 쇼 관람"
"1월 30일","Centara Karon Resort -> 쏨찟국수 -> 돌핀쇼 -> 빅씨마트 -> Renaissance Phuket Resort","마트 장보기 포함"
"3월 26일","Thavorn Palm Beach Resort -> 왓찰롱사원 -> 올드타운 -> Splash Beach Resort","호텔 이동"
